id,financial_report_id/id,sequence,parent_id/id,code,level,name,groupby,domain,formulas,special_date_changer,green_on_positive,show_domain,figure_type,hide_if_zero,action_id/id
7000000,toyosa_estado_resultados,4,,A7000000,0,7000000 DEPRECIACIONES AMORTIZACIONES Y CASTIGOS,account_id,,balance = A7100000.balance + A7200000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
7100000,,1,7000000,A7100000,1,7100000 DEPRECIACIONES Y AMORTIZACIONES,account_id,,balance = A7110000.balance + A7120000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
7110000,,1,7100000,A7110000,2,7110000 DEPRECIACIONES,account_id,,balance = A7110100.balance + A7110200.balance + A7110300.balance + A7110400.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
7110100,,1,7110000,A7110100,3,7110100 DEPRECIACION EDIFICIOS,account_id,"[('account_id','ilike','71101%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
7110200,,2,7110000,A7110200,3,7110200 DEPRECIACION MUEBLES Y ENSERES,account_id,"[('account_id','ilike','71102%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
7110300,,3,7110000,A7110300,3,7110300 DEPRECIACION VEHICULOS,account_id,"[('account_id','ilike','71103%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
7110400,,4,7110000,A7110400,3,7110400 DEPRECIACION EQUIPOS DE COMPUTACIONES,account_id,"[('account_id','ilike','71104%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
7120000,,2,7100000,A7120000,2,7120000 AMORTIZACIONES,account_id,,balance = A7120100.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
7120100,,5,7120000,A7120100,3,7120100 AMORTIZACIONES ACTIVOS DIFERIDOS,account_id,"[('account_id','ilike','71201%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
7200000,,2,7000000,A7200000,1,7200000 CASTIGOS,account_id,,balance = A7210000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
7210000,,3,7200000,A7210000,2,7210000 CASTIGOS,account_id,,balance = A7210100.balance + A7210200.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
7210100,,6,7210000,A7210100,3,7210100 CASTIGO CUENTAS INCOBRABLES,account_id,"[('account_id','ilike','72101%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
7210200,,7,7210000,A7210200,3,7210200 CASTIGO POR DANO Y OBSOLESCENCIA,account_id,"[('account_id','ilike','72102%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
